0	all my sons have grown up with computer games but im not interested i see them as a male thing	place ##holder	a	b	DET DET NOUN AUX VERB ADP ADP NOUN NOUN CCONJ PROPN PART ADJ PRON VERB PRON SCONJ DET ADJ NOUN	predet poss nsubj aux ROOT prt prep compound pobj cc nsubj neg ROOT nsubj ROOT dobj prep det amod pobj
828	usually the only household tasks oh is useful for are hoover ##ing lawn mo ##wing they ##re men ##s jobs anyway	place ##holder	a	b	ADV DET ADJ NOUN NOUN INTJ AUX ADJ ADP AUX VERB VERB NOUN NOUN NOUN PROPN PROPN VERB VERB NOUN ADV	advmod det amod compound ROOT intj ROOT acomp prep aux ROOT ROOT dobj advcl advcl dobj dobj compound compound dobj advmod
829	rt im not sex ##ist but girls who smoke are a big turn off even if your super ##mo ##del status its still a turn off	place ##holder	a	b	PROPN PROPN PART ADJ ADJ CCONJ NOUN PRON VERB AUX DET ADJ NOUN ADP ADV SCONJ DET NOUN NOUN NOUN NOUN DET ADV DET NOUN ADP	compound nsubj neg ROOT ROOT cc nsubj nsubj relcl ROOT det amod attr prt advmod mark poss nsubj nsubj nsubj advcl poss advmod det dobj prt
832	i don ##t think men should be allowed to have opinions i don ##t think women should be allowed to grow beard ##s	place ##holder	a	b	PRON VERB VERB VERB NOUN VERB AUX VERB PART AUX NOUN PRON VERB VERB VERB NOUN VERB AUX VERB PART VERB NOUN NOUN	nsubj nsubj nsubj ROOT nsubjpass aux auxpass ccomp aux xcomp dobj nsubj nsubj nsubj relcl nsubjpass aux auxpass ccomp aux xcomp acomp acomp
836	new ##ru ##les rt i think that boy self ##ies are 100 worse than girl self ##ies	place ##holder	a	b	PROPN PROPN PROPN PROPN PRON VERB SCONJ NOUN NOUN NOUN AUX NUM ADJ SCONJ NOUN NOUN NOUN	ROOT ROOT ROOT ROOT nsubj ROOT mark compound nsubj nsubj ccomp attr amod prep compound pobj pobj
838	rt am not sex ##ist but most woman can ##t drive no offence girls your the best at everything else tho	place ##holder	a	b	PROPN AUX PART ADJ ADJ CCONJ ADJ NOUN NOUN NOUN VERB DET NOUN VERB DET DET ADJ ADP PRON ADV NOUN	nsubj ROOT neg acomp acomp cc amod nsubj amod amod conj det compound dobj poss det ROOT prep pobj advmod npadvmod
840	people believe i don ##t do as good of work as a man so i won ##t do any at all ada ##y ##with ##out ##aw ##oman ##logic	place ##holder	a	b	NOUN VERB PRON NOUN NOUN AUX ADV NOUN ADP NOUN SCONJ DET NOUN ADV PRON VERB VERB AUX DET ADV ADV ADJ ADJ ADJ ADJ ADJ ADJ ADJ	nsubj ROOT compound nsubj nsubj ccomp prep amod prep pobj prep det pobj advmod compound nsubj nsubj ROOT dobj advmod det dobj dobj dobj dobj dobj dobj dobj
843	i can ##t stand when women are announcer ##s on football	place ##holder	a	b	PRON ADJ ADJ VERB ADV NOUN AUX NOUN NOUN ADP NOUN	nsubj ROOT ROOT dobj advmod nsubj advcl attr attr prep pobj
844	sp ##elman rt colleague rt i will not agree to work together w a female college again	place ##holder	a	b	PROPN PROPN PROPN PROPN PROPN PRON VERB PART VERB PART VERB ADV ADP DET ADJ NOUN ADV	compound compound nsubj ROOT ROOT nsubj aux neg ROOT aux xcomp advmod prep det amod pobj advmod
845	wakes up uncle a woman became the boss of this store i go to i did not sign up for this me you are sex ##ist sleeps	place ##holder	a	b	VERB ADP PROPN DET NOUN VERB DET NOUN ADP DET NOUN PRON VERB ADP PRON AUX PART VERB ADP ADP DET PRON PRON AUX ADJ ADJ NOUN	csubj prt dobj det nsubj ROOT det attr prep det pobj nsubj relcl prep nsubj aux neg ROOT prt prep det pobj nsubj ROOT amod amod attr
846	1 of 2 mt men divides and conquer ##s women obey and support if i married a woman who	place ##holder	a	b	NUM ADP NUM PROPN NOUN NOUN CCONJ VERB VERB NOUN VERB CCONJ VERB SCONJ PRON VERB DET NOUN PRON	meta prep nummod compound nsubj ROOT cc conj conj nsubj ccomp cc conj mark nsubj advcl det dobj relcl
847	when a girl cries for a gu it means she real ##l misses him but when a gu cries for a girl no ##bo ##d can love that girl more than him	place ##holder	a	b	ADV DET NOUN VERB ADP DET PROPN PRON VERB PRON VERB VERB VERB PRON CCONJ ADV DET PROPN VERB ADP DET NOUN NOUN NOUN NOUN VERB VERB DET NOUN ADJ SCONJ PRON	advmod det nsubj advcl prep det pobj nsubj ROOT nsubj nsubj nsubj ccomp dobj cc advmod det nsubj advcl prep det compound pobj pobj pobj aux ROOT det dobj advmod prep pobj
849	i personally don ##t like men in makeup lo ##l its ju ##s a bid weird babe i ran out of bronze ##r can i get some of yours lo ##l	place ##holder	a	b	PRON ADV VERB VERB SCONJ NOUN ADP NOUN VERB VERB DET NOUN NOUN DET NOUN ADJ PROPN PRON VERB SCONJ ADP NOUN NOUN VERB PRON AUX DET ADP NOUN VERB VERB	nsubj advmod ROOT ROOT prep pobj prep pobj prep prep poss pobj pobj det npadvmod amod ROOT nsubj relcl prep prep pobj pobj aux nsubj ROOT dobj prep pobj ROOT ROOT
850	your ##e a horrible parent call me sex ##ist but my son can do whatever he wants lo ##l my daughter not so much	place ##holder	a	b	VERB VERB DET ADJ NOUN VERB PRON NOUN NOUN CCONJ DET NOUN VERB AUX PRON PRON VERB VERB VERB DET NOUN PART ADV ADJ	ROOT ROOT det amod nsubj ccomp dobj oprd oprd cc poss nsubj aux conj dobj nsubj ccomp prep prep poss pobj neg advmod advmod
851	it looks worse when a girl fuck ##s with many guys then when a guy fuck ##s with many girls its how society sees it	place ##holder	a	b	PRON VERB ADJ ADV DET NOUN VERB VERB ADP ADJ NOUN ADV ADV DET NOUN VERB VERB ADP ADJ NOUN DET ADV NOUN VERB PRON	nsubj ROOT acomp advmod det nsubj advcl advcl prep amod pobj advmod advmod det nsubj advcl advcl prep amod pobj nsubj advmod nsubj ROOT dobj
854	your ##e quite opinion ##ated for a little girl everyday ##se ##xi ##sm	place ##holder	a	b	NOUN NOUN ADV ADJ ADJ ADP DET ADJ NOUN NOUN NOUN NOUN NOUN	nsubj nsubj advmod ROOT ROOT prep det amod compound pobj pobj pobj pobj
855	i dc woman can not drive period	place ##holder	a	b	PRON PROPN NOUN VERB PART VERB NOUN	nsubj compound nsubj aux neg ROOT dobj
856	the driving age for females should be like 25 ya ##ll can ##t drive for shit	place ##holder	a	b	DET VERB NOUN ADP NOUN VERB AUX SCONJ NUM PROPN PROPN NOUN NOUN NOUN ADP PROPN	det amod nsubj prep pobj aux ROOT prep nummod amod amod amod amod pobj prep pobj
857	your ##e also able ##ist and a damn waste call me sex ##ist id ##c but when girls fight your argument just sounds re ##tar ##ded	place ##holder	a	b	PROPN PROPN ADV NOUN NOUN CCONJ DET ADJ NOUN VERB PRON ADJ ADJ NOUN NOUN CCONJ ADV NOUN VERB DET NOUN ADV VERB ADJ ADJ ADJ	nsubj nsubj advmod ROOT ROOT cc det amod nsubj conj dobj amod amod oprd oprd cc advmod nsubj advcl poss dobj advmod ROOT acomp acomp acomp
858	sorry but real women show up for their commitments wes ##how ##up ada ##y ##with ##out ##wo ##men not ##my ##pro ##test	place ##holder	a	b	ADJ CCONJ ADJ NOUN VERB ADP ADP DET NOUN VERB VERB VERB NOUN NOUN NOUN NOUN NOUN NOUN X X X X	ROOT cc amod nsubj conj prt prep poss pobj advcl advcl advcl dobj dobj dobj dobj dobj dobj advmod advmod advmod advmod
859	females really need to stop acting like they are big football fans just stop	place ##holder	a	b	NOUN ADV VERB PART VERB VERB SCONJ PRON AUX ADJ NOUN NOUN ADV VERB	nsubj advmod ROOT aux xcomp xcomp mark nsubj advcl amod compound attr advmod conj
860	rt there are 0 females i know who aren ##t stupid in some way or another they just don ##t listen	place ##holder	a	b	PROPN PRON AUX NUM NOUN PRON VERB PRON VERB VERB ADJ ADP DET NOUN CCONJ DET PRON ADV NOUN NOUN VERB	intj expl ROOT nummod attr nsubj relcl nsubj ccomp ccomp dobj prep det pobj cc conj attr advmod nsubj nsubj ROOT
861	hold door for anyone who follows behind u i think less of guys who don ##t hold doors for girls i just do	place ##holder	a	b	VERB NOUN ADP PRON PRON VERB ADV PRON PRON VERB ADJ ADP NOUN PRON VERB VERB VERB NOUN ADP NOUN PRON ADV AUX	ROOT dobj dative pobj nsubj relcl prep pobj nsubj ROOT dobj prep pobj nsubj relcl relcl compound dobj prep pobj nsubj advmod ROOT
864	cat told kara that every good woman knows she has to be 2 ##x as good as a man but she never critique ##d that system she worked within it	place ##holder	a	b	PROPN VERB PROPN SCONJ DET ADJ NOUN VERB PRON AUX PART AUX NUM NUM ADV ADJ SCONJ DET NOUN CCONJ PRON ADV VERB VERB DET NOUN PRON VERB ADP PRON	nsubj ROOT dobj mark det amod nsubj ccomp nsubj ccomp aux xcomp attr attr advmod amod prep det pobj cc nsubj neg ROOT ROOT det dobj nsubj relcl prep pobj
866	i hate it when women try 2 tell me about things l kn ##o ab ##t like cars i kn ##o what im talk ##in bout	place ##holder	a	b	PRON VERB PRON ADV NOUN VERB NUM VERB PRON ADP NOUN PROPN PROPN PROPN PROPN PROPN SCONJ NOUN PRON VERB VERB PRON PROPN PROPN PROPN PROPN	nsubj ROOT dobj advmod nsubj advcl dobj advcl dobj prep pobj nsubj ROOT ROOT ROOT ROOT prep pobj nsubj ROOT ROOT dobj nsubj compound compound ROOT
867	it sick ##ens me to see girls playing rugby body ##building boxing	place ##holder	a	b	PRON VERB VERB PRON PART VERB NOUN VERB NOUN NOUN NOUN NOUN	nsubj ROOT ROOT dobj aux xcomp nsubj ccomp compound compound compound dobj
869	rt im not sex ##ist but hearing a group of drunk females trying to do the ya ##ya ko ##lo tour ##e chant feels wrong	place ##holder	a	b	PROPN PROPN PART ADJ ADJ CCONJ VERB DET NOUN ADP ADJ NOUN VERB PART AUX DET PROPN PROPN PROPN PROPN NOUN NOUN ADJ VERB ADJ	compound nsubj neg ROOT ROOT cc conj det dobj prep amod pobj acl aux xcomp det compound compound dobj dobj compound compound nsubj ROOT acomp
870	i believe in a relationship a woman should respect n ##d obey her man	place ##holder	a	b	PRON VERB ADP DET NOUN DET NOUN VERB VERB X X VERB DET NOUN	nsubj ROOT prep det pobj det nsubj aux relcl dobj dobj ccomp poss dobj
871	rt in 1814 women had no rights in 1914 women fought for rights in 2014 women were always right its a new year not ##se ##xi ##st	place ##holder	a	b	PROPN ADP NUM NOUN AUX DET NOUN ADP NUM NOUN VERB ADP NOUN ADP NUM NOUN AUX ADV ADJ DET DET ADJ NOUN NOUN NOUN NOUN NOUN	nsubj prep pobj nsubj ROOT det dobj prep nummod pobj acl prep pobj prep nummod pobj conj advmod acomp poss det amod compound attr attr attr attr
872	the oct ##ago ##n is no place for a woman awful scenes	place ##holder	a	b	DET NOUN NOUN NOUN AUX DET NOUN ADP DET NOUN ADJ NOUN	det nsubj nsubj nsubj ROOT det attr prep det nmod amod pobj
873	a woman reporting on gill ##ette soccer saturday dat ain ##t right we ##wan ##t ##kam ##my	place ##holder	a	b	DET NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN	det ROOT acl prep compound compound pobj compound compound compound compound compound ROOT ROOT ROOT ROOT ROOT
874	so hit me like a man and love me like a woman	place ##holder	a	b	ADV VERB PRON SCONJ DET NOUN CCONJ VERB PRON SCONJ DET NOUN	advmod ROOT dobj prep det pobj cc conj dobj prep det pobj
875	iv ##e probably said this once before but i look for a girl who i think would be a good mother when picking out who i want to date its weird	place ##holder	a	b	PROPN PROPN ADV VERB DET ADV ADV CCONJ PRON VERB ADP DET NOUN PRON PRON VERB VERB AUX DET ADJ NOUN ADV VERB ADP PRON PRON VERB PART VERB DET ADJ	nsubj nsubj advmod ROOT dobj advmod advmod cc nsubj ROOT prep det pobj nsubj nsubj relcl aux ccomp det amod attr advmod advcl prt dobj nsubj ccomp aux xcomp poss dobj
876	i think leonard ##ni ##mo ##ys sense of dignity respect and tolerance are especially rare among men such a fine human	place ##holder	a	b	PRON VERB NOUN NOUN NOUN NOUN NOUN ADP NOUN NOUN CCONJ NOUN AUX ADV ADJ ADP NOUN DET DET ADJ NOUN	nsubj ROOT compound compound compound compound nsubj prep compound pobj cc conj ccomp advmod acomp prep pobj predet det amod acomp
880	rt the true definition of a goddess is a good house wife mother who also has good health looks and ph ##ys ##ique	place ##holder	a	b	PROPN DET ADJ NOUN ADP DET NOUN AUX DET ADJ PROPN NOUN NOUN PRON ADV AUX ADJ NOUN NOUN CCONJ NOUN NOUN NOUN	intj det amod nsubj prep det pobj ROOT det amod compound compound attr nsubj advmod relcl amod compound dobj cc conj conj conj
881	u got so much knowledge shit bra ##zy i can expect a man to cheat but a woman ur a whore b sorry u are	place ##holder	a	b	PRON VERB ADV ADJ NOUN NOUN PROPN PROPN PRON VERB VERB DET NOUN PART VERB CCONJ DET NOUN ADP DET NOUN NOUN NOUN NOUN AUX	nsubj ROOT advmod amod compound compound dobj dobj nsubj aux ROOT det nsubj aux ccomp cc det conj prep det compound ROOT ROOT nsubj ROOT
883	girls should not drive ever you guys fuck ##in suck an guys have higher insurance bullshit bad ##dr ##iving	place ##holder	a	b	NOUN VERB PART VERB ADV PRON NOUN VERB VERB VERB DET NOUN AUX ADJ NOUN NOUN NOUN NOUN NOUN	nsubj aux neg ROOT advmod nmod nsubj ROOT ROOT dobj det nsubj ROOT amod compound dobj advcl advcl advcl
888	im ##not ##af ##an of men who wear their heart on their sleeves that ##s a girl thing man ##up ##asa ##p	place ##holder	a	b	NOUN NOUN NOUN NOUN ADP NOUN PRON VERB DET NOUN ADP DET NOUN NOUN NOUN DET NOUN NOUN NOUN NOUN NOUN NOUN	nsubj nsubj nsubj nsubj prep pobj nsubj relcl poss dobj prep poss pobj ROOT ROOT det compound dobj punct punct punct punct
890	if your ass wants me to know how to make dinner you better know how to do things on cars hu ##rr ##ump ##h	place ##holder	a	b	SCONJ DET NOUN VERB PRON PART VERB ADV PART VERB NOUN PRON ADV VERB ADV PART AUX NOUN ADP NOUN NOUN NOUN NOUN NOUN	mark poss nsubj ROOT nsubj aux ccomp advmod aux xcomp dobj nsubj advmod relcl advmod aux xcomp dobj prep pobj npadvmod npadvmod npadvmod npadvmod
892	in general the father should have greater authority than the mother in the bringing up of children	place ##holder	a	b	ADP PROPN DET PROPN VERB AUX ADJ NOUN SCONJ DET NOUN ADP DET NOUN ADP ADP NOUN	prep amod det nsubj aux ROOT amod dobj prep det pobj prep det pobj prt prep pobj
893	so this girl is trying to play football for lsu i think she need to put a skirt on and cheer with the other bitch ##es	place ##holder	a	b	ADV DET NOUN AUX VERB PART VERB NOUN ADP NOUN PRON VERB PRON VERB PART VERB DET NOUN ADP CCONJ VERB ADP DET ADJ NOUN NOUN	advmod det nsubj aux ROOT aux xcomp dobj prep pobj nsubj ROOT nsubj ccomp aux xcomp det dobj prep cc conj prep det amod pobj pobj
894	tattoos particularly on girls are on the whole soo ##oo ##o gross small ones can look okay but that	place ##holder	a	b	PROPN ADV ADP NOUN AUX ADP DET ADJ PROPN PROPN PROPN ADJ ADJ NOUN VERB VERB ADJ CCONJ DET	nsubj advmod prep pobj ROOT prep det amod nmod nmod nmod amod amod pobj aux conj acomp cc conj
897	often times people im not sex ##ist sex ##ism is wrong and only women are wrong	place ##holder	a	b	ADV VERB NOUN PROPN PART ADJ ADJ NOUN NOUN AUX ADJ CCONJ ADJ NOUN AUX ADJ	advmod ROOT dobj nmod neg amod amod nsubj nsubj ROOT acomp cc advmod nsubj conj acomp
898	rt easy ba ##ke oven ##s teaching girls their role in life since 1963 im not sex ##ist but this is hilarious	place ##holder	a	b	PROPN ADJ NOUN NOUN NOUN NOUN VERB NOUN DET NOUN ADP NOUN SCONJ NUM VERB PART ADJ ADJ CCONJ DET AUX ADJ	det amod compound compound nsubj nsubj ROOT dative poss dobj prep pobj prep pobj nsubj neg ROOT ROOT cc nsubj ROOT acomp
899	i think female writers suck the upcoming nigerian females excluded	place ##holder	a	b	PRON VERB ADJ NOUN VERB DET ADJ ADJ NOUN VERB	nsubj ROOT amod nsubj ccomp det amod amod dobj advcl
900	i am never mo ##wing the lawn that ##s your dad ##s job my mother	place ##holder	a	b	PRON AUX ADV VERB VERB DET NOUN VERB VERB DET NOUN NOUN NOUN DET NOUN	nsubj aux neg ROOT ROOT det dobj ccomp ccomp poss compound compound dobj poss ROOT
902	rt when i play sims 3 i put my wife ##s bed in the kitchen	place ##holder	a	b	PROPN ADV PRON VERB VERB NUM PRON VERB DET NOUN NOUN NOUN ADP DET NOUN	ROOT advmod nsubj advcl dobj nummod nsubj ROOT poss amod amod dobj prep det pobj
906	good thing you ##ll never get the opportunity i just don ##t feel safe driving with any girl call me sex ##ist	place ##holder	a	b	ADJ NOUN PRON PRON ADV AUX DET NOUN PRON ADV VERB VERB VERB ADJ NOUN ADP DET NOUN VERB PRON NOUN NOUN	amod compound nsubj nsubj neg ROOT det dobj nsubj advmod nsubj nsubj ROOT amod nsubj prep det pobj ccomp dobj oprd oprd
907	no gentlemen around there i change tires whenever i see women stranded its what were supposed to do	place ##holder	a	b	DET NOUN ADV ADV PRON VERB NOUN ADV PRON VERB NOUN VERB DET PRON AUX VERB PART AUX	det ROOT prep pcomp nsubj ROOT dobj advmod nsubj advcl nsubj ccomp dobj nsubjpass auxpass ccomp aux xcomp
908	giving women girls drivers licence is as dangerous giving somalia ##n pirates asylum in india	place ##holder	a	b	VERB NOUN NOUN NOUN NOUN AUX ADV ADJ VERB ADJ ADJ NOUN NOUN ADP PROPN	csubj dative compound compound dobj ROOT advmod acomp xcomp amod amod dative dobj prep pobj
909	im just more impressed with male hurdle ##rs dan ##gly bits getting in the way and all rio ##20 ##16	place ##holder	a	b	PROPN ADV ADV ADJ ADP ADJ NOUN NOUN ADV ADV NOUN VERB ADP DET NOUN CCONJ DET ADV ADV ADV	nsubj advmod advmod ROOT prep amod pobj pobj advmod advmod ROOT xcomp prep det pobj cc det conj conj conj
911	rt this driver definitely a woman ha ##ha	place ##holder	a	b	PROPN DET NOUN ADV DET NOUN VERB VERB	ROOT det dobj advmod det pobj npadvmod npadvmod
912	cat get onto the keyboard again im not sex ##ist but i don ##t believe in equality	place ##holder	a	b	NOUN VERB ADP DET NOUN ADV PROPN PART ADJ ADJ CCONJ PRON VERB VERB VERB ADP NOUN	nsubj ROOT prep det pobj advmod nsubj neg ROOT ROOT cc nsubj appos appos ROOT prep pobj
913	females n sports is almost never credible to me when it comes to being a fan	place ##holder	a	b	PROPN PROPN NOUN AUX ADV ADV ADJ ADP PRON ADV PRON VERB ADP AUX DET NOUN	compound compound nsubj ROOT advmod neg acomp prep pobj advmod nsubj advcl prep pcomp det attr
916	rt im not sex ##ist but women should not comment ##ate on the football it just doesn ##t sound right	place ##holder	a	b	PROPN PROPN PART ADJ ADJ CCONJ NOUN VERB PART VERB VERB ADP DET NOUN PRON ADV VERB VERB NOUN ADV	compound intj neg ROOT ROOT cc nsubj aux neg ROOT ROOT prep det pobj nsubj advmod amod amod ROOT ROOT
917	these metro men these days are kill ##in me pri ##mp ##ing longer than women tight jeans n suits duck lips in pic ##s kill ##in me	place ##holder	a	b	DET NOUN NOUN DET NOUN AUX VERB VERB PRON VERB VERB VERB ADV SCONJ NOUN ADJ NOUN PROPN NOUN NOUN NOUN ADP NOUN NOUN VERB VERB PRON	det compound nsubj det npadvmod ROOT compound compound nsubj ccomp ccomp ccomp advmod prep pobj amod compound nsubj ROOT compound dobj prep compound compound compound compound pobj
918	i don ##t want to watch a card with 50 of the matches being women ##s matches if its just for the s	place ##holder	a	b	PRON VERB VERB VERB PART VERB DET NOUN ADP NUM ADP DET NOUN AUX NOUN NOUN NOUN SCONJ DET ADV ADP DET NOUN	nsubj nsubj nsubj ROOT aux xcomp det dobj prep pobj prep det pobj advcl compound compound ROOT mark poss advmod prep det pobj
919	i can t stand a woman that can t cook or at least as good as me micro ##wa ##ving fucking everything	place ##holder	a	b	PRON VERB X VERB DET NOUN DET VERB VERB VERB CCONJ ADP ADJ ADV ADJ SCONJ PRON VERB VERB VERB ADJ PRON	nsubj aux nsubj ROOT det dobj nsubj aux compound relcl cc advmod advmod advmod conj mark nsubj advcl advcl advcl xcomp dobj
920	rt women should know how to cook clean and act like a proper lady	place ##holder	a	b	PROPN NOUN VERB VERB ADV PART VERB ADJ CCONJ VERB SCONJ DET ADJ NOUN	intj nsubj aux ROOT advmod aux xcomp acomp cc conj prep det amod pobj
921	ah ##aha i know its horrible to see thirsty girls its expected from a guy doesn ##t make it okay though i guess	place ##holder	a	b	PROPN PROPN PRON VERB DET ADJ PART VERB ADJ NOUN DET VERB ADP DET NOUN NOUN NOUN VERB PRON ADJ SCONJ PRON VERB	intj intj nsubj ROOT poss dobj aux acl amod dobj poss relcl prep det compound pobj pobj ROOT nsubj ccomp mark nsubj advcl
922	also what passes for skill athletic ##ism in women ##s basketball isn ##t d league worthy for men you know im right	place ##holder	a	b	ADV PRON VERB ADP NOUN NOUN NOUN ADP PROPN PROPN NOUN PROPN PROPN PROPN NOUN ADJ ADP NOUN PRON VERB INTJ ADJ	ROOT nsubj intj prep compound pobj pobj prep compound compound compound compound compound compound pobj amod prep pobj nsubj parataxis dobj ROOT
923	im not sex ##ist but women do cook n ##d clean better then us its ##aco ##mp ##lim ##ent	place ##holder	a	b	PROPN PART ADJ ADJ CCONJ NOUN AUX VERB PROPN PROPN VERB ADV ADV PRON VERB VERB VERB VERB VERB	nsubj neg ROOT ROOT cc nsubj aux conj dobj dobj oprd advmod advmod compound ROOT ROOT ROOT ROOT ROOT
924	if you together you can look out for each other but a men should grind harder provide more for a woman that ##s just me	place ##holder	a	b	SCONJ PRON ADV PRON VERB VERB ADP ADP DET ADJ CCONJ DET NOUN VERB VERB ADV VERB ADJ ADP DET NOUN NOUN NOUN ADV PRON	mark nsubj advmod nsubj aux ROOT prt prep det pobj cc det nsubj aux conj advmod xcomp dobj prep det pobj acl acl advmod dobj
925	guys girls	place ##holder	a	b	NOUN NOUN	compound ROOT
926	im 100 times more excited about the usa u 20 world cup team than i am about the women ##s nt	place ##holder	a	b	PROPN NUM NOUN ADV ADJ ADP DET PROPN PROPN NUM PROPN PROPN NOUN SCONJ PRON AUX ADP DET PROPN PROPN PART	nsubj npadvmod quantmod advmod ROOT prep det compound nmod nummod compound compound pobj mark nsubj advcl prep det pobj pobj advmod
928	i have yet to meet see or know a woman who knows how to drive or what on earth she ##s doing on the road save our roads	place ##holder	a	b	PRON AUX ADV PART VERB VERB CCONJ VERB DET NOUN PRON VERB ADV PART VERB CCONJ PRON ADP NOUN NOUN NOUN VERB ADP DET NOUN VERB DET NOUN	nsubj ROOT advmod aux xcomp dobj cc conj det nsubj nsubj relcl advmod aux xcomp cc dobj prep compound conj conj acl prep det pobj ccomp poss dobj
929	just because ones minds ##et isn ##t like doesn ##t mean they dumb don ##t expect a woman ##s minds ##et be like a mans	place ##holder	a	b	ADV SCONJ NOUN VERB VERB PROPN PROPN SCONJ NOUN NOUN VERB PRON ADJ PROPN PROPN VERB DET PROPN PROPN NOUN NOUN AUX SCONJ DET PROPN	advmod mark nsubj advcl advcl dobj dobj prep pobj pobj ROOT nsubj amod nsubj nsubj ccomp det compound compound nsubj nsubj ccomp prep det pobj
930	using it to communicate our humanity chicks man don ##t call me sex ##ist because we all know how ya ##ll girls are with twitter	place ##holder	a	b	VERB PRON PART VERB DET NOUN NOUN NOUN PROPN PROPN VERB PRON ADJ ADJ SCONJ PRON DET VERB ADV ADJ ADJ NOUN AUX ADP NOUN	ROOT dobj aux xcomp poss compound dobj compound nsubj nsubj ccomp dobj oprd oprd mark nsubj appos advcl advmod amod amod nsubj ccomp prep pobj
932	i hate it when girls say the n word no	place ##holder	a	b	PRON VERB PRON ADV NOUN VERB DET ADJ NOUN INTJ	nsubj ROOT dobj advmod nsubj advcl det punct dobj intj
934	i think women are generally more often bee ##t fans most guys i know hate em	place ##holder	a	b	PRON VERB NOUN AUX ADV ADV ADV ADJ ADJ NOUN ADJ NOUN PRON VERB VERB PRON	nsubj ROOT nsubj ccomp advmod advmod advmod ccomp ccomp dobj amod ROOT nsubj parataxis ROOT dobj
935	men shouldn ##t be hair ##dre ##sser ##s my fucked up bangs are pro ##oo ##of bit ##tt ##ter	place ##holder	a	b	NOUN PROPN PROPN AUX NOUN NOUN NOUN NOUN DET VERB ADP NOUN AUX PROPN PROPN PROPN NOUN NOUN NOUN	compound nsubj nsubj ROOT attr attr attr attr nsubj amod prt nsubj ROOT compound compound compound attr attr attr
936	no man should ever have to se ##w ever not because we are men simply because we can ##t	place ##holder	a	b	DET NOUN VERB ADV AUX PART VERB VERB ADV PART SCONJ PRON AUX NOUN ADV SCONJ PRON VERB VERB	det nsubj aux advmod ROOT aux xcomp xcomp advmod neg mark nsubj advcl attr advmod mark nsubj advcl advcl
937	real women don ##t go along w ada ##y ##with ##out ##wo ##men crap its a fake cause manufactured by man hating feminist ##s lesbian ##s stop ##it your ##ef ##ired	place ##holder	a	b	ADJ NOUN NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET DET ADJ NOUN VERB ADP NOUN VERB NOUN NOUN NOUN NOUN VERB VERB ADJ ADJ ADJ	amod compound nsubj nsubj ROOT prep compound nsubj nsubj nsubj nsubj nsubj nsubj ROOT poss det amod dobj acl agent compound compound pobj pobj nsubj nsubj ROOT ROOT advmod advmod advmod
938	i hate guys that drink like women no it is not okay for you to enjoy that strawberry dai ##qui ##ri you fucking pan ##sy	place ##holder	a	b	PRON VERB NOUN DET VERB SCONJ NOUN INTJ PRON AUX PART ADJ ADP PRON PART VERB DET PROPN VERB VERB VERB PRON VERB ADJ ADJ	nsubj ROOT dobj nsubj relcl prep pobj intj nsubj ROOT neg acomp mark nsubj aux advcl det compound dobj dobj dobj nsubj relcl dobj dobj
939	i never got used to the idea of seeing girls on skate ##boards its just weird	place ##holder	a	b	PRON ADV VERB VERB ADP DET NOUN ADP VERB NOUN ADP NOUN NOUN DET ADV ADJ	nsubjpass neg auxpass ROOT prep det pobj prep pcomp dobj prep pobj pobj poss advmod dobj
942	ha ##ha what i still don ##t like how the main character of legend of ko ##rra is a woman it just doesn ##t feel right	place ##holder	a	b	INTJ INTJ PRON PRON ADV VERB VERB SCONJ ADV DET ADJ NOUN ADP NOUN ADP PROPN PROPN AUX DET NOUN PRON ADV VERB VERB VERB ADJ	intj intj pobj nsubj advmod ROOT ROOT prep advmod det amod nsubj prep pobj prep pobj pobj pcomp det attr nsubj advmod nsubj nsubj relcl acomp
943	there are just some things women shouldn ##t do	place ##holder	a	b	PRON AUX ADV DET NOUN NOUN NOUN NOUN AUX	expl ROOT advmod det attr compound relcl relcl punct
944	rt call me sex ##ist if you want but i find female sports ##caster ##s really annoying	place ##holder	a	b	PROPN VERB PRON ADJ ADJ SCONJ PRON VERB CCONJ PRON VERB ADJ NOUN NOUN NOUN ADV ADJ	nsubj ROOT dobj oprd oprd mark nsubj advcl cc nsubj ROOT amod nsubj nsubj nsubj advmod ccomp
945	i just can ##t see america having a woman president you can i just wouldn ##t vote	place ##holder	a	b	PRON ADV NOUN NOUN VERB PROPN VERB DET NOUN NOUN PRON VERB PRON ADV PROPN PROPN PROPN	nsubj advmod ROOT ROOT ccomp nsubj ccomp det compound dobj nsubj ROOT nsubj advmod compound compound ROOT
948	rt look im not sex ##ist but the only funny women in comedy are amy poe ##hler tina f and kristen w	place ##holder	a	b	PROPN VERB PROPN PART ADJ ADJ CCONJ DET ADJ ADJ NOUN ADP NOUN AUX PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN	nsubj ROOT attr neg acomp acomp cc det amod amod nsubj prep pobj conj compound compound compound compound attr cc conj punct
